date,time
2020-12-29,1.49
2020-12-30,0.8
2020-12-31,0.77
2021-01-01,0.57
2021-01-02,0.7
2021-01-03,0.87
2021-01-04,0.79
2021-01-05,0.93
2021-01-06,1.2
2021-01-07,0.92
2021-01-08,1.45
2021-01-09,1.47
2021-01-10,0.91
2021-01-11,1.37
2021-01-12,2.24
2021-01-13,1.62
2021-01-14,1.93
2021-01-15,1.3
2021-01-16,1.23
2021-01-17,1.28
2021-01-18,3.05
2021-01-19,3.85
2021-01-20,1.65
2021-01-21,1.22
2021-01-22,1.97
2021-01-23,1.16
2021-01-24,1.07
2021-01-25,3.21
2021-01-26,1.63
2021-01-27,1.47
2021-01-28,1.68
2021-01-29,1.26
2021-01-30,1.14
2021-01-31,1.01
2021-02-01,1.38
2021-02-02,2.94
2021-02-03,1.33
2021-02-04,1.42
2021-02-05,1.45
2021-02-06,1.16
2021-02-07,3.51
2021-02-08,3.44
2021-02-09,3.09
2021-02-10,3.23
2021-02-11,7.42
2021-02-12,4.0
2021-02-13,2.74
2021-02-14,1.55
2021-02-15,3.45
2021-02-16,1.35
2021-02-17,2.24
2021-02-18,1.51
2021-02-19,2.22
2021-02-20,1.78
2021-02-21,1.4
2021-02-22,1.66
2021-02-23,2.13
2021-02-24,1.97
2021-02-25,1.82
2021-02-26,2.12
2021-02-27,1.13
2021-02-28,1.64
2021-03-01,2.01
2021-03-02,2.16
2021-03-03,1.53
2021-03-04,1.51
2021-03-05,1.7
2021-03-06,1.53
2021-03-07,1.43
2021-03-08,1.67
2021-03-09,1.86
2021-03-10,2.11
2021-03-11,2.7
2021-03-12,2.63
2021-03-13,1.49
2021-03-14,2.07
2021-03-15,1.84
2021-03-16,2.09
2021-03-17,2.09
2021-03-18,1.91
2021-03-19,4.47
2021-03-20,1.6
2021-03-21,1.53
2021-03-22,2.24
2021-03-23,1.99
2021-03-24,2.13
2021-03-25,2.45
2021-03-26,2.42
2021-03-27,1.62
2021-03-28,1.41
2021-03-29,9.65
2021-03-30,1.97
2021-03-31,1.68
2021-04-01,2.86
2021-04-02,1.22
2021-04-03,0.98
2021-04-04,0.72
2021-04-05,1.21
2021-04-06,1.19
2021-04-07,2.23
2021-04-08,1.7
2021-04-09,1.34
2021-04-10,1.27
2021-04-11,1.32
2021-04-12,3.7
2021-04-13,2.48
2021-04-14,2.38
2021-04-15,4.74
2021-04-16,4.31
2021-04-17,1.16
2021-04-18,1.36
2021-04-19,2.52
2021-04-20,2.92
2021-04-21,2.73
2021-04-22,2.88
2021-04-23,3.64
2021-04-24,2.21
2021-04-25,2.14
2021-04-26,2.88
2021-04-27,3.2
2021-04-28,2.9
2021-04-29,3.38
2021-04-30,3.15
2021-05-01,2.08
2021-05-02,2.81
2021-05-03,2.47
2021-05-04,2.97
2021-05-05,3.44
2021-05-06,2.92
2021-05-07,2.95
2021-05-08,1.73
2021-05-09,2.32
2021-05-10,4.22
2021-05-11,3.73
2021-05-12,3.53
2021-05-13,3.35
2021-05-14,2.93
2021-05-15,2.13
2021-05-16,2.57
2021-05-17,3.48
2021-05-18,3.07
2021-05-19,2.96
2021-05-20,4.02
2021-05-21,3.25
2021-05-22,1.97
2021-05-23,2.16
2021-05-24,2.44
2021-05-25,3.18
2021-05-26,3.41
2021-05-27,3.18
2021-05-28,2.85
2021-05-29,1.55
2021-05-30,2.4
2021-05-31,2.3
2021-06-01,3.92
2021-06-02,3.26
2021-06-03,2.83
2021-06-04,4.21
2021-06-05,4.74
2021-06-06,3.2
2021-06-07,4.35
2021-06-08,3.5
2021-06-09,3.72
2021-06-10,3.29
2021-06-11,3.37
2021-06-12,2.91
2021-06-13,2.86
2021-06-14,8.9
2021-06-15,3.32
2021-06-16,3.71
2021-06-17,3.99
2021-06-18,4.0
2021-06-19,3.33
2021-06-20,3.65
2021-06-21,3.36
2021-06-22,4.61
2021-06-23,4.58
2021-06-24,5.84
2021-06-25,4.79
2021-06-26,3.95
2021-06-27,4.47
2021-06-28,3.15
2021-06-29,3.92
2021-06-30,4.92
2021-07-01,4.21
2021-07-02,3.71
2021-07-03,2.9
2021-07-04,2.69
2021-07-05,3.64
2021-07-06,4.17
2021-07-07,4.84
2021-07-08,4.32
2021-07-09,4.75
2021-07-10,6.21
2021-07-11,3.46
2021-07-12,4.1
2021-07-13,3.98
2021-07-14,3.94
2021-07-15,6.14
2021-07-16,4.56
2021-07-17,4.96
2021-07-18,5.14
2021-07-19,4.69
2021-07-20,4.4
2021-07-21,3.56
2021-07-22,4.34
2021-07-23,3.71
2021-07-24,3.55
2021-07-25,3.54
2021-07-26,5.07
2021-07-27,4.81
2021-07-28,7.72
2021-07-29,11.27
2021-07-30,4.21
2021-07-31,3.84
2021-08-01,5.44
2021-08-02,3.84
2021-08-03,3.41
2021-08-04,3.78
2021-08-05,3.95
2021-08-06,3.49
2021-08-07,6.38
2021-08-08,4.36
2021-08-09,4.01
2021-08-10,4.15
2021-08-11,4.34
2021-08-12,3.92
2021-08-13,4.92
2021-08-14,5.07
2021-08-15,4.78
2021-08-16,4.81
2021-08-17,10.25
2021-08-18,4.03
2021-08-19,3.97
2021-08-20,3.46
2021-08-21,3.77
2021-08-22,3.61
2021-08-23,4.03
2021-08-24,6.16
2021-08-25,3.63
2021-08-26,5.46
2021-08-27,4.02
2021-08-28,4.08
2021-08-29,4.22
2021-08-30,6.1
2021-08-31,8.02
2021-09-01,9.77
2021-09-02,10.67
2021-09-03,17.08
2021-09-04,13.67
2021-09-06,3.69
2021-09-07,5.67
2021-09-08,8.7
2021-09-09,6.34
2021-09-10,5.69
2021-09-11,9.42
2021-09-12,12.15
2021-09-13,3.95
2021-09-14,4.32
2021-09-15,6.44
2021-09-16,5.42
2021-09-17,5.82
2021-09-18,8.56
2021-09-19,9.07
2021-09-20,11.62
2021-09-21,7.5
2021-09-22,8.33
2021-09-23,12.15
2021-09-24,12.69
2021-09-25,11.36
2021-09-26,10.47
2021-09-27,6.34
2021-09-28,6.65
2021-09-30,8.23
2021-10-01,6.61
2021-10-02,9.16
2021-10-03,13.1
2021-10-04,5.75
2021-10-05,8.95
2021-10-06,8.76
2021-10-07,9.21
2021-10-08,10.23
2021-10-09,10.19
2021-10-10,7.34
2021-10-11,6.94
2021-10-12,6.69
2021-10-13,10.69
2021-10-14,6.51
2021-10-15,9.44
2021-10-16,11.85
2021-10-17,11.88
2021-10-18,8.7
2021-10-19,9.54
2021-10-20,12.94
2021-10-21,6.88
2021-10-22,6.25
2021-10-23,8.01
2021-10-24,12.23
2021-10-25,9.54
2021-10-26,10.09
2021-10-27,8.13
2021-10-28,8.29
2021-10-29,7.96
2021-10-30,11.62
2021-10-31,8.36
2021-11-01,8.82
2021-11-02,7.27
2021-11-03,6.71
2021-11-04,10.73
2021-11-05,9.4
2021-11-06,6.64
2021-11-07,11.18
2021-11-08,9.28
2021-11-09,7.86
2021-11-10,7.23
2021-11-11,6.21
2021-11-12,8.3
2021-11-13,8.57
2021-11-14,8.1
2021-11-15,7.06
2021-11-16,5.9
2021-11-17,5.86
2021-11-18,7.03
2021-11-19,14.73
2021-11-20,19.49
2021-11-21,22.47
2021-11-22,5.78
2021-11-23,8.33
2021-11-24,9.59
2021-11-25,6.6
2021-11-26,11.8
2021-11-27,18.39
2021-11-28,24.66
2021-11-29,9.7
2021-11-30,7.26
2021-12-01,5.68
2021-12-02,7.04
2021-12-05,8.36
2021-12-06,6.02
2021-12-07,7.83
2021-12-08,7.38
2021-12-09,12.0
2021-12-10,4.06
2021-12-11,3.15
2021-12-12,1.47
2021-12-13,3.63
2021-12-14,3.6
2021-12-15,3.95
2021-12-16,5.73
2021-12-17,3.59
2021-12-18,3.85
2021-12-19,3.15
2021-12-20,4.96
2021-12-21,6.06
2021-12-22,5.52
2021-12-23,5.79
2021-12-24,5.64
2021-12-25,6.61
2021-12-26,8.9
2021-12-27,6.2
2021-12-28,8.01
2021-12-29,7.8
2021-12-30,7.51
2021-12-31,2.28
2022-01-01,2.15
2022-01-02,2.47
2022-01-03,1.65
2022-01-04,2.41
2022-01-05,2.24
2022-01-06,3.03
2022-01-07,2.74
2022-01-08,3.01
2022-01-09,2.83
2022-01-10,2.59
2022-01-11,2.59
2022-01-12,2.54
2022-01-13,2.77
2022-01-14,3.92
2022-01-15,3.75
2022-01-16,3.49
2022-01-17,4.34
2022-01-18,4.68
2022-01-19,3.9
2022-01-20,3.39
2022-01-21,4.28
2022-01-23,3.91
2022-01-24,3.71
2022-01-25,3.1
2022-01-26,2.94
2022-01-27,2.83
2022-01-28,3.29
2022-01-29,4.44
2022-01-30,7.38
2022-01-31,2.94
2022-02-01,3.11
2022-02-02,3.05
2022-02-03,5.14
2022-02-04,3.13
2022-02-05,3.55
2022-02-06,4.9
2022-02-07,4.09
2022-02-08,3.6
2022-02-09,2.94
2022-02-10,2.81
2022-02-11,3.17
2022-02-12,5.27
2022-02-14,3.46
2022-02-15,2.78
2022-02-16,3.08
2022-02-17,4.41
2022-02-18,2.78
2022-02-19,4.23
2022-02-20,3.85
2022-02-21,3.26
2022-02-22,2.82
2022-02-23,3.0
2022-02-24,2.64
2022-02-25,3.27
2022-02-26,4.87
2022-02-27,3.04
2022-02-28,2.69
2022-03-01,3.45
2022-03-02,3.18
2022-03-03,3.05
2022-03-04,3.83
2022-03-05,2.53
2022-03-06,2.99
2022-03-07,4.17
2022-03-08,3.47
2022-03-09,3.68
2022-03-10,4.19
2022-03-11,5.27
2022-03-12,3.06
2022-03-13,4.26
2022-03-14,3.27
2022-03-15,4.51
2022-03-16,3.3
2022-03-17,4.82
2022-03-18,3.03
2022-03-19,3.08
2022-03-20,3.35
2022-03-21,3.57
2022-03-22,4.29
2022-03-23,3.35
2022-03-24,4.27
2022-03-25,4.07
2022-03-26,4.32
2022-03-27,3.28
2022-03-28,4.56
2022-03-29,4.9
2022-03-30,5.16
2022-03-31,6.58
2022-04-01,4.83
2022-04-02,4.65
2022-04-03,2.16
2022-04-04,3.44
2022-04-05,4.03
2022-04-06,3.23
2022-04-07,3.38
2022-04-08,3.65
2022-04-09,2.32
2022-04-10,2.24
2022-04-11,6.0
2022-04-12,3.84
2022-04-13,3.64
2022-04-14,5.38
2022-04-15,4.97
2022-04-16,7.16
2022-04-17,1.78
2022-04-18,2.05
2022-04-19,3.07
2022-04-20,4.92
2022-04-21,4.81
2022-04-22,4.6
2022-04-23,3.23
2022-04-24,3.0
2022-04-25,4.18
2022-04-26,3.21
2022-04-27,5.46
2022-04-28,3.35
2022-04-29,3.94
2022-04-30,2.52
2022-05-01,2.53
2022-05-02,4.32
2022-05-03,3.57
2022-05-04,5.48
2022-05-05,5.13
2022-05-06,5.66
2022-05-07,7.36
2022-05-08,9.84
2022-05-09,5.26
2022-05-10,3.77
2022-05-11,4.85
2022-05-12,9.62
2022-05-13,4.92
2022-05-14,4.54
2022-05-15,3.9
2022-05-16,5.12
2022-05-17,4.17
2022-05-18,3.43
2022-05-19,12.09
2022-05-20,5.9
2022-05-21,7.75
2022-05-22,6.33
2022-05-23,4.51
2022-05-24,4.11
2022-05-25,5.63
2022-05-26,3.66
2022-05-27,5.91
2022-05-28,5.17
2022-05-29,3.82
2022-05-30,5.54
2022-05-31,4.68
2022-06-01,5.53
2022-06-02,3.17
2022-06-03,7.13
2022-06-04,3.92
2022-06-05,3.69
2022-06-06,7.42
2022-06-07,3.92
2022-06-08,7.24
2022-06-11,6.8
2022-06-12,5.07
2022-06-13,5.64
2022-06-14,4.39
2022-06-15,5.42
2022-06-16,5.42
2022-06-17,5.8
2022-06-18,5.99
2022-06-19,7.46
2022-06-20,5.27
2022-06-21,5.45
2022-06-22,3.93
2022-06-23,4.99
2022-06-24,4.66
2022-06-25,3.47
2022-06-26,3.32
2022-06-27,6.41
2022-06-28,5.18
2022-06-29,5.57
2022-06-30,5.5
2022-07-01,6.06
2022-07-02,6.59
2022-07-03,3.77
2022-07-04,4.57
2022-07-05,3.07
2022-07-06,3.4
2022-07-07,4.41
2022-07-08,4.57
2022-07-09,2.83
2022-07-10,3.7
2022-07-11,6.0
2022-07-12,4.27
2022-07-13,6.04
2022-07-14,4.99
2022-07-15,6.7
2022-07-16,7.79
2022-07-17,11.23
2022-07-18,4.55
2022-07-19,5.53
2022-07-20,5.14
2022-07-21,4.65
2022-07-22,7.67
2022-07-23,5.41
2022-07-24,5.95
2022-07-25,4.91
2022-07-26,4.19
2022-07-27,5.63
2022-07-28,4.72
2022-07-29,4.62
2022-07-30,2.93
2022-07-31,4.24
2022-08-01,4.55
2022-08-02,3.41
2022-08-03,4.19
2022-08-04,4.1
2022-08-05,4.98
2022-08-06,4.81
2022-08-07,4.27
2022-08-08,3.68
2022-08-09,4.71
2022-08-10,4.6
2022-08-11,3.46
2022-08-12,4.56
2022-08-13,5.84
2022-08-14,7.12
2022-08-15,4.04
2022-08-16,4.56
2022-08-17,5.23
2022-08-18,4.87
2022-08-19,6.02
2022-08-20,5.11
2022-08-21,7.26
2022-08-22,4.82
2022-08-23,4.39
2022-08-24,4.58
2022-08-25,4.04
2022-08-26,9.9
2022-08-27,4.68
2022-08-28,3.96
2022-08-29,3.32
2022-08-30,3.22
2022-08-31,3.28
2022-09-01,3.36
2022-09-02,4.06
2022-09-03,4.74
2022-09-04,3.19
2022-09-05,3.72
2022-09-06,4.93
2022-09-07,4.67
2022-09-08,4.45
2022-09-09,4.6
2022-09-10,3.06
2022-09-11,4.93
2022-09-12,3.6
2022-09-13,4.77
2022-09-14,3.77
2022-09-15,3.63
2022-09-16,3.48
2022-09-17,3.21
2022-09-18,5.45
2022-09-19,4.55
2022-09-20,5.97
2022-09-21,4.1
2022-09-22,4.84
2022-09-23,4.29
2022-09-24,4.7
2022-09-25,5.01
2022-09-26,5.9
2022-09-27,4.35
2022-09-28,5.47
2022-09-29,5.77
2022-09-30,4.82
2022-10-01,3.41
2022-10-02,4.14
2022-10-03,5.82
2022-10-04,5.11
2022-10-05,4.88
2022-10-06,4.8
2022-10-07,6.71
2022-10-08,5.51
2022-10-09,4.66
2022-10-10,5.79
2022-10-11,8.48
2022-10-12,5.51
2022-10-13,3.82
2022-10-14,5.42
2022-10-15,5.56
2022-10-16,6.14
2022-10-17,4.35
2022-10-18,5.81
2022-10-19,4.32
2022-10-20,5.29
2022-10-21,5.06
2022-10-22,5.08
2022-10-23,4.29
2022-10-24,4.95
2022-10-25,4.71
2022-10-26,6.91
2022-10-27,5.51
2022-10-28,4.74
2022-10-29,3.71
2022-10-30,4.37
2022-10-31,4.28
2022-11-01,3.1
2022-11-02,4.52
2022-11-03,10.99
2022-11-04,6.16
2022-11-05,4.01
2022-11-06,4.1
2022-11-07,7.13
2022-11-08,5.28
2022-11-09,4.32
2022-11-10,4.71
2022-11-11,4.34
2022-11-12,3.15
2022-11-13,4.27
2022-11-14,4.77
2022-11-15,4.53
2022-11-16,4.72
2022-11-17,3.85
2022-11-18,4.45
2022-11-19,5.03
2022-11-20,6.0
2022-11-21,6.37
2022-11-22,6.25
2022-11-23,4.89
2022-11-24,3.7
2022-11-25,3.91
2022-11-26,3.7
2022-11-27,3.39
2022-11-28,4.85
2022-11-29,4.17
2022-11-30,4.23
2022-12-01,6.3
2022-12-02,5.94
2022-12-03,2.71
2022-12-04,3.97
2022-12-05,4.42
2022-12-06,5.12
2022-12-07,4.53
2022-12-08,4.88
2022-12-09,4.2
2022-12-10,3.07
2022-12-11,22.6
2022-12-12,9.25
2022-12-13,12.72
2022-12-14,9.4
2022-12-15,8.1
2022-12-16,8.35
2022-12-17,7.16
2022-12-18,7.8
2022-12-19,7.02
2022-12-20,4.99
2022-12-21,10.64
2022-12-22,6.62
2022-12-23,5.21
2022-12-24,2.22
2022-12-25,1.93
2022-12-26,1.46
2022-12-27,3.2
2022-12-28,2.45
2022-12-29,2.62
2022-12-30,2.9
2022-12-31,1.5
2023-01-01,2.12
2023-01-02,3.47
2023-01-03,2.78
2023-01-04,3.47
2023-01-05,2.95
2023-01-06,3.03
2023-01-07,2.62
2023-01-08,2.34
2023-01-09,3.55
2023-01-10,3.02
2023-01-11,3.21
2023-01-12,3.24
2023-01-13,3.34
2023-01-14,3.97
2023-01-15,4.36
2023-01-16,3.29
2023-01-17,5.41
2023-01-18,3.99
2023-01-19,4.02
2023-01-20,4.72
2023-01-21,4.83
2023-01-22,4.38
2023-01-23,3.29
2023-01-24,2.97
2023-01-25,3.88
2023-01-26,3.55
2023-01-27,4.28
2023-01-28,5.45
2023-01-29,4.34
2023-01-30,3.38
2023-01-31,3.35
2023-02-01,4.33
2023-02-02,5.2
2023-02-03,7.12
2023-02-04,12.51
2023-02-05,12.13
2023-02-06,4.31
2023-02-07,6.74
2023-02-08,3.8
2023-02-09,2.86
2023-02-10,4.34
2023-02-11,2.41
2023-02-12,3.19
2023-02-13,3.23
2023-02-14,4.81
2023-02-15,4.35
2023-02-16,4.21
2023-02-17,5.35
2023-02-18,3.69
2023-02-19,2.99
2023-02-20,3.48
2023-02-21,3.08
2023-02-22,3.5
2023-02-23,3.02
2023-02-24,3.39
2023-02-25,4.45
2023-02-26,2.74
2023-02-27,3.48
2023-02-28,2.74
2023-03-01,4.43
2023-03-02,5.41
2023-03-03,5.82
2023-03-04,4.66
2023-03-05,5.65
2023-03-06,3.19
2023-03-07,3.49
2023-03-08,3.76
2023-03-09,3.65
2023-03-10,3.71
2023-03-11,7.58
2023-03-12,3.12
2023-03-13,2.9
2023-03-14,3.9
2023-03-15,4.19
2023-03-16,4.24
2023-03-17,3.95
2023-03-18,4.49
2023-03-19,4.56
2023-03-20,4.92
2023-03-21,4.31
2023-03-22,4.19
2023-03-23,3.95
2023-03-24,4.93
2023-03-25,3.17
2023-03-26,3.46
2023-03-27,5.06
2023-03-28,6.79
2023-03-29,5.43
2023-03-30,5.08
2023-03-31,3.69
2023-04-01,5.69
2023-04-02,4.76
2023-04-03,5.05
2023-04-04,3.94
2023-04-05,3.65
2023-04-06,4.99
2023-04-07,3.62
2023-04-08,2.27
2023-04-09,2.51
2023-04-10,2.02
2023-04-11,3.61
2023-04-12,4.88
2023-04-13,5.31
2023-04-14,5.14
