Date,Forecast
2024-04-01,5.555653930483697
2024-04-02,1.9550643103644763
2024-04-03,1.964857356814085
2024-04-04,1.9745277281253062
2024-04-05,1.9841471138040472
2024-04-06,1.993628789109475
2024-04-07,8.801191361122596
2024-04-08,12.812669517422968
2024-04-09,3.830234991320265
2024-04-10,2.0443499086362174
2024-04-11,2.053695876956936
2024-04-12,2.0631179433895834
2024-04-13,2.0726261010115117
2024-04-14,9.875818863319438
2024-04-15,3.2747363675214127
2024-04-16,2.8840365495682243
2024-04-17,2.0957729353299452
2024-04-18,2.1053435859967573
2024-04-19,2.1149493010210634
2024-04-20,2.1245698487520803
2024-04-21,4.5320890250342805
2024-04-22,13.53401934398467
2024-04-23,2.1361097876743704
2024-04-24,2.145686839458329
2024-04-25,2.155222260980565
2024-04-26,3.7675880358993736
2024-04-27,2.1813384616318454
2024-04-28,15.3796856809767
2024-04-29,6.3744309218101485
2024-04-30,2.189832574949705
