"Metric","Value"
"MSE",1.00402606072915
"RMSE",1.00201100828741
"MAE",0.743085426752917
"MAPE (%)",26.6109356625055
"R²",-0.039244318613078
"MASE",0.661943480110477
"Theil's U",0.726416686906796
"Bias",-0.275382954567119
"80% Coverage",0.966666666666667
"95% Coverage",1
