date,time
03.12.2020,3.27
02.12.2020,3.88
01.12.2020,2.94
31.01.2021,1.01
30.01.2021,1.14
29.01.2021,1.26
28.01.2021,1.68
27.01.2021,1.47
26.01.2021,1.63
25.01.2021,3.21
24.01.2021,1.07
23.01.2021,1.16
22.01.2021,1.97
21.01.2021,1.22
20.01.2021,1.65
19.01.2021,3.85
18.01.2021,3.05
17.01.2021,1.28
16.01.2021,1.23
15.01.2021,1.30
14.01.2021,1.93
13.01.2021,1.62
12.01.2021,2.24
11.01.2021,1.37
10.01.2021,0.91
09.01.2021,1.47
08.01.2021,1.45
07.01.2021,0.92
06.01.2021,1.20
05.01.2021,0.93
04.01.2021,0.79
03.01.2021,0.87
02.01.2021,0.70
01.01.2021,0.57
28.02.2021,1.64
27.02.2021,1.13
26.02.2021,2.12
25.02.2021,1.82
24.02.2021,1.97
23.02.2021,2.13
22.02.2021,1.66
21.02.2021,1.40
20.02.2021,1.78
19.02.2021,2.22
18.02.2021,1.51
17.02.2021,2.24
16.02.2021,1.35
15.02.2021,3.45
14.02.2021,1.55
13.02.2021,2.74
12.02.2021,4.00
11.02.2021,7.42
10.02.2021,3.23
09.02.2021,3.09
08.02.2021,3.44
07.02.2021,3.51
06.02.2021,1.16
05.02.2021,1.45
04.02.2021,1.42
03.02.2021,1.33
02.02.2021,2.94
01.02.2021,1.38
31.03.2021,1.68
30.03.2021,1.97
29.03.2021,9.65
28.03.2021,1.41
27.03.2021,1.62
26.03.2021,2.42
25.03.2021,2.45
24.03.2021,2.13
23.03.2021,1.99
22.03.2021,2.24
21.03.2021,1.53
20.03.2021,1.60
19.03.2021,4.47
18.03.2021,1.91
17.03.2021,2.09
16.03.2021,2.09
15.03.2021,1.84
14.03.2021,2.07
13.03.2021,1.49
12.03.2021,2.63
11.03.2021,2.70
10.03.2021,2.11
09.03.2021,1.86
08.03.2021,1.67
07.03.2021,1.43
06.03.2021,1.53
05.03.2021,1.70
04.03.2021,1.51
03.03.2021,1.53
02.03.2021,2.16
01.03.2021,2.01
30.04.2021,3.15
29.04.2021,3.38
28.04.2021,2.90
27.04.2021,3.20
26.04.2021,2.88
25.04.2021,2.14
24.04.2021,2.21
23.04.2021,3.64
22.04.2021,2.88
21.04.2021,2.73
20.04.2021,2.92
19.04.2021,2.52
18.04.2021,1.36
17.04.2021,1.16
16.04.2021,4.31
15.04.2021,4.74
14.04.2021,2.38
13.04.2021,2.48
12.04.2021,3.70
11.04.2021,1.32
10.04.2021,1.27
09.04.2021,1.34
08.04.2021,1.70
07.04.2021,2.23
06.04.2021,1.19
05.04.2021,1.21
04.04.2021,0.72
03.04.2021,0.98
02.04.2021,1.22
01.04.2021,2.86
31.05.2021,2.30
30.05.2021,2.40
29.05.2021,1.55
28.05.2021,2.85
27.05.2021,3.18
26.05.2021,3.41
25.05.2021,3.18
24.05.2021,2.44
23.05.2021,2.16
22.05.2021,1.97
21.05.2021,3.25
20.05.2021,4.02
19.05.2021,2.96
18.05.2021,3.07
17.05.2021,3.48
16.05.2021,2.57
15.05.2021,2.13
14.05.2021,2.93
13.05.2021,3.35
12.05.2021,3.53
11.05.2021,3.73
10.05.2021,4.22
09.05.2021,2.32
08.05.2021,1.73
07.05.2021,2.95
06.05.2021,2.92
05.05.2021,3.44
04.05.2021,2.97
03.05.2021,2.47
02.05.2021,2.81
01.05.2021,2.08
30.06.2021,4.92
29.06.2021,3.92
28.06.2021,3.15
27.06.2021,4.47
26.06.2021,3.95
25.06.2021,4.79
24.06.2021,5.84
23.06.2021,4.58
22.06.2021,4.61
21.06.2021,3.36
20.06.2021,3.65
19.06.2021,3.33
18.06.2021,4.00
17.06.2021,3.99
16.06.2021,3.71
15.06.2021,3.32
14.06.2021,8.90
13.06.2021,2.86
12.06.2021,2.91
11.06.2021,3.37
10.06.2021,3.29
09.06.2021,3.72
08.06.2021,3.50
07.06.2021,4.35
06.06.2021,3.20
05.06.2021,4.74
04.06.2021,4.21
03.06.2021,2.83
02.06.2021,3.26
01.06.2021,3.92
31.07.2021,3.84
30.07.2021,4.21
29.07.2021,11.27
28.07.2021,7.72
27.07.2021,4.81
26.07.2021,5.07
25.07.2021,3.54
24.07.2021,3.55
23.07.2021,3.71
22.07.2021,4.34
21.07.2021,3.56
20.07.2021,4.40
19.07.2021,4.69
18.07.2021,5.14
17.07.2021,4.96
16.07.2021,4.56
15.07.2021,6.14
14.07.2021,3.94
13.07.2021,3.98
12.07.2021,4.10
11.07.2021,3.46
10.07.2021,6.21
09.07.2021,4.75
08.07.2021,4.32
